"version","type","name","signature","description","mode"
"3.4.10","function","date","date(input = DEFAULT_TEMPORAL_ARGUMENT :: ANY?) :: (DATE?)","Create a Date instant.",""
"3.4.10","function","date.realtime","date.realtime(timezone = DEFAULT_TEMPORAL_ARGUMENT :: ANY?) :: (DATE?)","Get the current Date instant using the realtime clock.",""
"3.4.10","function","date.statement","date.statement(timezone = DEFAULT_TEMPORAL_ARGUMENT :: ANY?) :: (DATE?)","Get the current Date instant using the statement clock.",""
"3.4.10","function","date.transaction","date.transaction(timezone = DEFAULT_TEMPORAL_ARGUMENT :: ANY?) :: (DATE?)","Get the current Date instant using the transaction clock.",""
"3.4.10","function","date.truncate","date.truncate(unit :: STRING?, input :: ANY?, fields = null :: MAP?) :: (DATE?)","Truncate the input temporal value to a Date instant using the specified unit.",""
"3.4.10","function","datetime","datetime(input = DEFAULT_TEMPORAL_ARGUMENT :: ANY?) :: (DATETIME?)","Create a DateTime instant.",""
"3.4.10","function","datetime.fromepoch","datetime.fromepoch(seconds :: NUMBER?, nanoseconds :: NUMBER?) :: (DATETIME?)","Create a DateTime given the seconds and nanoseconds since the start of the epoch.",""
"3.4.10","function","datetime.fromepochmillis","datetime.fromepochmillis(milliseconds :: NUMBER?) :: (DATETIME?)","Create a DateTime given the milliseconds since the start of the epoch.",""
"3.4.10","function","datetime.realtime","datetime.realtime(timezone = DEFAULT_TEMPORAL_ARGUMENT :: ANY?) :: (DATETIME?)","Get the current DateTime instant using the realtime clock.",""
"3.4.10","function","datetime.statement","datetime.statement(timezone = DEFAULT_TEMPORAL_ARGUMENT :: ANY?) :: (DATETIME?)","Get the current DateTime instant using the statement clock.",""
"3.4.10","function","datetime.transaction","datetime.transaction(timezone = DEFAULT_TEMPORAL_ARGUMENT :: ANY?) :: (DATETIME?)","Get the current DateTime instant using the transaction clock.",""
"3.4.10","function","datetime.truncate","datetime.truncate(unit :: STRING?, input :: ANY?, fields = null :: MAP?) :: (DATETIME?)","Truncate the input temporal value to a DateTime instant using the specified unit.",""
"3.4.10","function","duration","duration(input :: ANY?) :: (DURATION?)","Construct a Duration value.",""
