"version","type","name","signature","description","mode"
"3.4.4-enterprise","function","date","date(input = null :: ANY?) :: (DATE?)","Create a Date instant.",""
"3.4.4-enterprise","function","date.realtime","date.realtime(timezone = null :: ANY?) :: (DATE?)","Get the current Date instant using the realtime clock.",""
"3.4.4-enterprise","function","date.statement","date.statement(timezone = null :: ANY?) :: (DATE?)","Get the current Date instant using the statement clock.",""
"3.4.4-enterprise","function","date.transaction","date.transaction(timezone = null :: ANY?) :: (DATE?)","Get the current Date instant using the transaction clock.",""
"3.4.4-enterprise","function","date.truncate","date.truncate(unit :: STRING?, input :: ANY?, fields = null :: MAP?) :: (DATE?)","Truncate the input temporal value to a Date instant using the specified unit.",""
"3.4.4-enterprise","function","datetime","datetime(input = null :: ANY?) :: (DATETIME?)","Create a DateTime instant.",""
"3.4.4-enterprise","function","datetime.fromepoch","datetime.fromepoch(seconds :: ANY?, nanoseconds :: ANY?) :: (DATETIME?)","Create a DateTime given the seconds and nanoseconds since the start of the epoch.",""
"3.4.4-enterprise","function","datetime.fromepochmillis","datetime.fromepochmillis(milliseconds :: ANY?) :: (DATETIME?)","Create a DateTime given the milliseconds since the start of the epoch.",""
"3.4.4-enterprise","function","datetime.realtime","datetime.realtime(timezone = null :: ANY?) :: (DATETIME?)","Get the current DateTime instant using the realtime clock.",""
"3.4.4-enterprise","function","datetime.statement","datetime.statement(timezone = null :: ANY?) :: (DATETIME?)","Get the current DateTime instant using the statement clock.",""
"3.4.4-enterprise","function","datetime.transaction","datetime.transaction(timezone = null :: ANY?) :: (DATETIME?)","Get the current DateTime instant using the transaction clock.",""
"3.4.4-enterprise","function","datetime.truncate","datetime.truncate(unit :: STRING?, input :: ANY?, fields = null :: MAP?) :: (DATETIME?)","Truncate the input temporal value to a DateTime instant using the specified unit.",""
"3.4.4-enterprise","function","duration","duration(input :: ANY?) :: (DURATION?)","Construct a Duration value.",""
"3.4.4-enterprise","function","duration.between","duration.between(from :: ANY?, to :: ANY?) :: (DURATION?)","Compute the duration between the 'from' instant (inclusive) and the 'to' instant (exclusive) in logical units.",""
"3.4.4-enterprise","function","duration.inDays","duration.inDays(from :: ANY?, to :: ANY?) :: (DURATION?)","Compute the duration between the 'from' instant (inclusive) and the 'to' instant (exclusive) in days.",""
"3.4.4-enterprise","function","duration.inMonths","duration.inMonths(from :: ANY?, to :: ANY?) :: (DURATION?)","Compute the duration between the 'from' instant (inclusive) and the 'to' instant (exclusive) in months.",""
"3.4.4-enterprise","function","duration.inSeconds","duration.inSeconds(from :: ANY?, to :: ANY?) :: (DURATION?)","Compute the duration between the 'from' instant (inclusive) and the 'to' instant (exclusive) in seconds.",""
"3.4.4-enterprise","function","localdatetime","localdatetime(input = null :: ANY?) :: (LOCALDATETIME?)","Create a LocalDateTime instant.",""
"3.4.4-enterprise","function","localdatetime.realtime","localdatetime.realtime(timezone = null :: ANY?) :: (LOCALDATETIME?)","Get the current LocalDateTime instant using the realtime clock.",""
"3.4.4-enterprise","function","localdatetime.statement","localdatetime.statement(timezone = null :: ANY?) :: (LOCALDATETIME?)","Get the current LocalDateTime instant using the statement clock.",""
"3.4.4-enterprise","function","localdatetime.transaction","localdatetime.transaction(timezone = null :: ANY?) :: (LOCALDATETIME?)","Get the current LocalDateTime instant using the transaction clock.",""
"3.4.4-enterprise","function","localdatetime.truncate","localdatetime.truncate(unit :: STRING?, input :: ANY?, fields = null :: MAP?) :: (LOCALDATETIME?)","Truncate the input temporal value to a LocalDateTime instant using the specified unit.",""
"3.4.4-enterprise","function","localtime","localtime(input = null :: ANY?) :: (LOCALTIME?)","Create a LocalTime instant.",""
"3.4.4-enterprise","function","localtime.realtime","localtime.realtime(timezone = null :: ANY?) :: (LOCALTIME?)","Get the current LocalTime instant using the realtime clock.",""
"3.4.4-enterprise","function","localtime.statement","localtime.statement(timezone = null :: ANY?) :: (LOCALTIME?)","Get the current LocalTime instant using the statement clock.",""
"3.4.4-enterprise","function","localtime.transaction","localtime.transaction(timezone = null :: ANY?) :: (LOCALTIME?)","Get the current LocalTime instant using the transaction clock.",""
"3.4.4-enterprise","function","localtime.truncate","localtime.truncate(unit :: STRING?, input :: ANY?, fields = null :: MAP?) :: (LOCALTIME?)","Truncate the input temporal value to a LocalTime instant using the specified unit.",""
"3.4.4-enterprise","function","randomUUID","randomUUID() :: (STRING?)","Generates a random UUID.",""
"3.4.4-enterprise","function","time","time(input = null :: ANY?) :: (TIME?)","Create a Time instant.",""
"3.4.4-enterprise","function","time.realtime","time.realtime(timezone = null :: ANY?) :: (TIME?)","Get the current Time instant using the realtime clock.",""
"3.4.4-enterprise","function","time.statement","time.statement(timezone = null :: ANY?) :: (TIME?)","Get the current Time instant using the statement clock.",""
"3.4.4-enterprise","function","time.transaction","time.transaction(timezone = null :: ANY?) :: (TIME?)","Get the current Time instant using the transaction clock.",""
"3.4.4-enterprise","function","time.truncate","time.truncate(unit :: STRING?, input :: ANY?, fields = null :: MAP?) :: (TIME?)","Truncate the input temporal value to a Time instant using the specified unit.",""
"3.4.4-enterprise","procedure","db.awaitIndex","db.awaitIndex(index :: STRING?, timeOutSeconds = 300 :: INTEGER?) :: VOID","Wait for an index to come online (for example: CALL db.awaitIndex(\":Person(name)\")).","READ"
"3.4.4-enterprise","procedure","db.awaitIndexes","db.awaitIndexes(timeOutSeconds = 300 :: INTEGER?) :: VOID","Wait for all indexes to come online (for example: CALL db.awaitIndexes(\"500\")).","READ"
"3.4.4-enterprise","procedure","db.constraints","db.constraints() :: (description :: STRING?)","List all constraints in the database.","READ"
"3.4.4-enterprise","procedure","db.createIndex","db.createIndex(index :: STRING?, providerName :: STRING?) :: (index :: STRING?, providerName :: STRING?, status :: STRING?)","Create a schema index with specified index provider (for example: CALL db.createIndex(\":Person(name)\", \"lucene+native-2.0\")) - YIELD index, providerName, status","SCHEMA"
